event_name,Date,Tickets
EZBB0329,2018-03-29,40208
EZBB0330,2018-03-30,35123
EZBB0331,2018-03-31,37777
EZBB0402,2018-04-02,25054
EZBB0403,2018-04-03,26782
EZBB0404,2018-04-04,29834
EZBB0416,2018-04-16,17812
EZBB0417,2018-04-17,17913
EZBB0418,2018-04-18,22135
EZBB0419,2018-04-19,23610
EZBB0420,2018-04-20,39016
EZBB0421,2018-04-21,41396
EZBB0422,2018-05-28,31779
EZBB0504,2018-05-04,41807
EZBB0505,2018-05-05,38264
EZBB0506,2018-05-06,37896
EZBB0515,2018-05-15,34452
EZBB0516,2018-05-16,28264
EZBB0517,2018-08-30,37603
EZBB0518,2018-05-18,27705
EZBB0519,2018-05-19,37715
EZBB0520,2018-05-20,28352
EZBB0528,2018-05-28,32377
EZBB0529,2018-05-29,19443
EZBB0530,2018-05-30,21449
EZBB0531,2018-05-31,22380
EZBB0601,2018-06-01,33845
EZBB0602,2018-06-02,39578
EZBB0603,2018-06-03,33132
EZBB0612,2018-06-12,29892
EZBB0613,2018-06-13,32015
EZBB0614,2018-06-14,25250
EZBB0615,2018-06-15,41497
EZBB0616,2018-06-16,41916
EZBB0617,2018-06-17,40251
EZBB0622,2018-06-22,37193
EZBB0623,2018-06-23,40333
EZBB0624,2018-06-24,33794
EZBB0625,2018-06-25,27851
EZBB0626,2018-06-26,28356
EZBB0627,2018-06-27,30207
EZBB0710,2018-07-10,31747
EZBB0711,2018-07-11,27839
EZBB0713,2018-07-13,42130
EZBB0714,2018-07-14,40862
EZBB0715,2018-07-15,27323
EZBB0726,2018-07-26,40706
EZBB0727,2018-07-27,41647
EZBB0728,2018-07-28,41758
EZBB0729,2018-07-29,40303
EZBB0730,2018-07-30,21230
EZBB0731,2018-07-31,18627
EZBB0801,2018-08-13,16049
EZBB0810,2018-08-10,36519
EZBB0811,2018-08-11,40297
EZBB0812,2018-08-12,25360
EZBB0813,2018-08-13,18186
EZBB0814,2018-08-14,19409
EZBB0815,2018-08-15,19045
EZBB0816,2018-08-16,23428
EZBB0817,2018-08-17,28964
EZBB0818,2018-08-18,42143
EZBB0819,2018-08-19,33942
EZBB0828,2018-08-28,21216
EZBB0829,2018-08-29,20876
EZBB0831,2018-08-31,36650
EZBB0901,2018-09-01,33705
EZBB0902,2018-09-02,37475
EZBB0903,2018-09-03,40394
EZBB0904,2018-09-04,35333
EZBB0905,2018-09-05,28386
EZBB0914,2018-09-14,39268
EZBB0915,2018-09-15,36050
EZBB0916,2018-09-16,33403
EZBB0917,2018-09-17,24304
EZBB0918,2018-09-18,23083
EZBB0919,2018-09-19,25195
EZBB0920,2018-09-20,27474
EZBB0921,2018-09-21,34370
EZBB0922,2018-09-22,35616
EZBB0923,2018-09-23,34214
