event_name,Date,Tickets
EXBB0407,2022-04-07,40545
EXBB0408,2022-04-08,40234
EXBB0409,2022-04-09,40310
EXBB0410,2022-04-10,38233
EXBB0411,2022-04-11,42263
EXBB0412,2022-04-12,31462
EXBB0413,2022-04-13,31959
EXBB0422,2022-04-22,40402
EXBB0423,2022-04-23,41931
EXBB0424,2022-04-24,38440
EXBB0426,2022-04-26,31990
EXBB0427,2022-04-27,30362
EXBB0428,2022-04-28,34183
EXBB0506,2022-05-06,36307
EXBB0507,2022-05-07,37857
EXBB0508,2022-05-08,36551
EXBB0510,2022-05-10,38378
EXBB0511,2022-05-11,37200
EXBB0513,2022-05-13,40635
EXBB0514,2022-05-14,40490
EXBB0515,2022-05-15,40114
EXBB0523,2022-05-23,41762
EXBB0524,2022-05-24,32274
EXBB0525,2022-05-25,29339
EXBB0526,2022-05-26,33188
EXBB0527,2022-05-27,40064
EXBB0528,2022-05-28,40682
EXBB0529,2022-05-29,39669
EXBB0607,2022-06-07,33981
EXBB0608,2022-06-08,42075
EXBB0609,2022-06-09,39336
EXBB0610,2022-06-10,41404
EXBB0611,2022-06-11,41219
EXBB0612,2022-06-12,35446
EXBB0620,2022-06-20,40589
EXBB0621,2022-06-21,35384
EXBB0622,2022-06-22,38478
EXBB0623,2022-06-23,36870
EXBB0624,2022-06-24,42105
EXBB0625,2022-06-25,42161
EXBB0626,2022-06-26,42217
EXBB0704,2022-07-04,41975
EXBB0705,2022-07-05,34656
EXBB0706,2022-07-06,36718
EXBB0707,2022-07-07,37756
EXBB0708,2022-07-08,41725
EXBB0709,2022-07-09,40632
EXBB0710,2022-07-10,33053
EXBB0711,2022-07-11,42925
EXBB0712,2022-07-12,42217
EXBB0713,2022-07-13,34879
EXBB0722,2022-07-22,42867
EXBB0723,2022-07-23,42827
EXBB0724,2022-07-24,42663
EXBB0729,2022-07-29,41536
EXBB0730,2022-07-30,41682
EXBB0731,2022-07-31,39005
EXBB0802,2022-08-02,38932
EXBB0803,2022-08-03,30380
EXBB0815,2022-08-15,38380
EXBB0816,2022-08-16,37449
EXBB0817,2022-08-17,34308
EXBB0818,2022-08-18,39378
EXBB0819,2022-08-19,42837
EXBB0820,2022-08-20,42893
EXBB0821,2022-08-21,42531
EXBB0830,2022-08-30,34237
EXBB0831,2022-08-31,29554
EXBB0901,2022-09-01,31203
EXBB0902,2022-09-02,42161
EXBB0903,2022-09-03,42405
EXBB0904,2022-09-04,42360
EXBB0916,2022-09-16,42578
EXBB0917,2022-09-17,42542
EXBB0918,2022-09-18,42015
EXBB0919,2022-09-19,33443
EXBB0920,2022-09-20,40224
EXBB0921,2022-09-21,37240
EXBB0930,2022-09-30,42402
EXBB1001,2022-10-01,42561
EXBB1002,2022-10-02,42713
